"Measure Code","Measure Name","Score","Footnote","Start Date","End Date"
"EMO_REL_BBV","The hospice team provided too little or too much emotional and spiritual support","10","","10/01/2015","09/30/2017"
"EMO_REL_MBV","","Not Applicable","","10/01/2015","09/30/2017"
"EMO_REL_TBV","The hospice team provided the right amount of emotional and spiritual support","90","","10/01/2015","09/30/2017"
"RATING_BBV","Caregivers rated the hospice agency a 6 or lower","5","","10/01/2015","09/30/2017"
"RATING_MBV","Caregivers rated the hospice agency a 7 or 8","14","","10/01/2015","09/30/2017"
"RATING_TBV","Caregivers rated the hospice agency a 9 or 10","81","","10/01/2015","09/30/2017"
"RECOMMEND_BBV","NO, they would probably not or definitely not recommend the hospice","4","","10/01/2015","09/30/2017"
"RECOMMEND_MBV","YES, they would probably recommend the hospice","11","","10/01/2015","09/30/2017"
"RECOMMEND_TBV","YES, they would definitely recommend the hospice","85","","10/01/2015","09/30/2017"
"RESPECT_BBV","The hospice team sometimes or never treated the patient with respect","2","","10/01/2015","09/30/2017"
"RESPECT_MBV","The hospice team usually treated the patient with respect","7","","10/01/2015","09/30/2017"
"RESPECT_TBV","The hospice team always treated the patient with respect","91","","10/01/2015","09/30/2017"
"SYMPTOMS_BBV","The patient sometimes or never got the help they needed for pain and symptoms","10","","10/01/2015","09/30/2017"
"SYMPTOMS_MBV","The patient usually got the help they needed for pain and symptoms","15","","10/01/2015","09/30/2017"
"SYMPTOMS_TBV","The patient always got the help they needed for pain and symptoms","75","","10/01/2015","09/30/2017"
"TEAM_COMM_BBV","The hospice team sometimes or never communicated well","7","","10/01/2015","09/30/2017"
"TEAM_COMM_MBV","The hospice team usually  communicated well","13","","10/01/2015","09/30/2017"
"TEAM_COMM_TBV","The hospice team always communicated well","80","","10/01/2015","09/30/2017"
"TIMELY_CARE_BBV","The hospice team sometimes or never provided timely help","10","","10/01/2015","09/30/2017"
"TIMELY_CARE_MBV","The hospice team usually provided timely help","12","","10/01/2015","09/30/2017"
"TIMELY_CARE_TBV","The hospice team always provided timely help","78","","10/01/2015","09/30/2017"
"TRAINING_BBV","They did not receive the training they needed","9","","10/01/2015","09/30/2017"
"TRAINING_MBV","They somewhat received the training they needed","16","","10/01/2015","09/30/2017"
"TRAINING_TBV","They definitely received the training they needed","75","","10/01/2015","09/30/2017"